Metro station,lat,lon,District
Опалиха,55.824809,37.242265,Московская область
Павшино,55.815175,37.341439,Московская область
Мякинино,55.823342,37.385214,Московская область
Строгино,55.803831,37.402405,район Строгино
Нахабино,55.841655,37.184854,Московская область
Красногорская,55.814335,37.303944,Московская область
Тушинская,55.825479,37.437024,район Покровское-Стрешнево
Аникеевка,55.832303,37.219161,Московская область
Волоколамская,55.835154,37.382453,район Митино
Пенягино,55.822539,37.361049,район Митино
Митино,55.846098,37.36122,район Митино
Пятницкое шоссе,55.853634,37.353108,район Митино
Чеховская,55.765747,37.608493,район Тверской
Арбатская,55.752312,37.60349,район Арбат
Фили,55.746763,37.514035,район Филевский парк
Белорусская,55.777439,37.582107,район Тверской
Кропоткинская,55.745297,37.604217,район Хамовники
Спортивная,55.722388,37.562041,район Хамовники
Алексеевская,55.807794,37.638699,район Алексеевский
Ростокино,55.839444,37.667778,район Ростокино
Китай-город,55.756498,37.631326,район Тверской
ВДНХ,55.819626,37.640751,район Алексеевский
Динамо,55.789704,37.558212,район Аэропорт
Филатов Луг,55.601177,37.407995,Новомосковский административный округ
Раменки,55.697691,37.498725,район Раменки
Минская,55.723947,37.497872,район Дорогомилово
Аминьевская,55.697189,37.464931,район Очаково-Матвеевское
Давыдково,55.71517,37.45177,район Можайский
Фрунзенская,55.727462,37.58022,район Хамовники
Улица 1905 года,55.763944,37.562271,район Пресненский
Кунцевская,55.730634,37.445123,район Кунцево
Шелепиха,55.7575,37.525556,район Пресненский
Молодёжная,55.741375,37.415627,район Кунцево
Беговая,55.773505,37.545518,район Хорошевский
Бауманская,55.772405,37.67904,район Басманный
Славянский бульвар,55.729542,37.470973,район Фили-Давыдково
Новокузнецкая,55.742391,37.62928,район Замоскворечье
Парк Культуры,55.736163,37.595027,район Хамовники
Смоленская,55.747713,37.583802,район Арбат
Пушкинская,55.765607,37.604356,район Тверской
Комсомольская,55.774072,37.654565,район Красносельский
Серпуховская,55.726548,37.624792,район Замоскворечье
Трубная,55.76771,37.621926,район Мещанский
Народное Ополчение,55.775697,37.485071,район Хорошево-Мневники
Киевская,55.743117,37.564132,район Дорогомилово
Технопарк,55.695,37.664167,район Даниловский
Преображенская площадь,55.796322,37.713582,район Преображенское
Павелецкая,55.729741,37.638693,район Замоскворечье
Красные ворота,55.768307,37.6478,район Басманный
Тверская,55.765343,37.603918,район Тверской
Петровский Парк,55.791957,37.557322,район Аэропорт
Аэропорт,55.800441,37.530477,район Хорошевский
Площадь Ильича,55.747115,37.680726,район Таганский
Краснопресненская,55.760378,37.577114,район Пресненский
Курская,55.758564,37.659039,район Басманный
Третьяковская,55.74073,37.625624,район Замоскворечье
Охотный ряд,55.757228,37.615078,район Тверской
Деловой центр,55.750243,37.542641,район Пресненский
Полянка,55.736795,37.618594,район Якиманка
Волгоградский проспект,55.725546,37.685197,район Южнопортовый
Выставочная,Московская область,Московская область,Московская область
Тестовская,55.754147,37.531684,район Пресненский
Сходненская,55.84926,37.44076,район Южное Тушино
Прокшино,55.586456,37.43322,Новомосковский административный округ
Окружная,55.844748,37.575531,район Марфино
Рабочий Посёлок,55.726918,37.417877,район Можайский
Селигерская,55.866556,37.547117,район Бескудниковский
Ломоносовский проспект,55.70706,37.516063,район Раменки
Саларьево,55.6227,37.424,Новомосковский административный округ
Бибирево,55.883868,37.603011,район Бибирево
Печатники,55.692921,37.728338,район Печатники
Новогиреево,55.752237,37.814587,район Новогиреево
Бульвар Рокоссовского,55.814916,37.732227,район Богородское
Филёвский парк,55.739665,37.483902,район Филевский парк
Проспект Мира,55.779584,37.633646,район Мещанский
Рязанский проспект,55.716139,37.792694,район Рязанский
Профсоюзная,55.677671,37.562595,район Черемушки
Ботанический сад,55.844597,37.637811,район Ростокино
Панфиловская,55.799167,37.498889,район Щукино
Беломорская,55.865369,37.475692,район Левобережный
Цветной бульвар,55.771653,37.620466,район Тверской
Парк Победы,55.735679,37.516865,район Дорогомилово
Багратионовская,55.743544,37.497042,район Филевский парк
Нагатинский Затон,55.684427,37.704592,район Нагатинский затон
Крылатское,55.756842,37.408139,район Крылатское
Щукинская,55.8094,37.463241,район Щукино
ЦСКА,55.786602,37.533301,район Хорошевский
Библиотека им. Ленина,55.752123,37.610388,район Арбат
Марьина Роща,55.793723,37.61618,район Марьина роща
Баррикадная,55.760793,37.581242,район Пресненский
Боровицкая,55.750399,37.60934,район Арбат
Добрынинская,55.728994,37.622533,район Замоскворечье
Маяковская,55.769808,37.596192,район Тверской
Новослободская,55.779606,37.601252,район Тверской
Чистые пруды,55.76499,37.638293,район Басманный
Таганская,55.742396,37.653334,район Таганский
Шаболовская,55.718828,37.607892,район Донской
Балтийская,55.825833,37.496111,район Войковский
Мнёвники,55.761148,37.47139,район Хорошево-Мневники
Кутузовская,55.740544,37.5341,район Дорогомилово
Тульская,55.70961,37.622569,район Даниловский
